time,open,high,low,close
1774821600,6379.75,6388.5,6367.75,6378
1774821660,6378,6381.5,6375,6378.25
1774821720,6378.75,6385.75,6378.5,6380
1774821780,6380.5,6381.75,6372.5,6373.75
1774821840,6373.75,6376.25,6367.25,6372.75
1774821900,6373.25,6375.5,6367.5,6368
1774821960,6368,6369.25,6364,6368
1774822020,6368,6373.75,6367.5,6372
1774822080,6372.25,6372.75,6369,6369.5
1774822140,6369.5,6371,6368.25,6369.75
1774822200,6369.5,6371.25,6369.25,6371
1774822260,6370.75,6371,6367.75,6369
1774822320,6368.5,6372.5,6368.5,6370.5
1774822380,6370.5,6372,6368.75,6372
1774822440,6372.25,6378,6371.75,6377.25
1774822500,6377.25,6378.75,6375.75,6378.5
1774822560,6378.25,6379.5,6377,6377
1774822620,6377.25,6378.25,6375.75,6376.25
1774822680,6376.5,6379,6376.25,6378.25
1774822740,6378.25,6379.25,6376.75,6376.75
1774822800,6377,6384.75,6376.5,6384.75
1774822860,6384.5,6385.25,6383,6384.75
1774822920,6384.75,6387.75,6383.5,6384.75
1774822980,6384.75,6385,6382,6382.5
1774823040,6382.75,6385.25,6382.5,6383.25
1774823100,6383.25,6383.75,6379,6380.75
1774823160,6380.5,6382,6379.5,6379.75
1774823220,6380,6381,6377.75,6380.75
1774823280,6380.5,6384.5,6380.5,6382.5
1774823340,6382.75,6383.25,6381.5,6382
1774823400,6382,6384.25,6382,6384.25
1774823460,6384,6384,6382,6383.5
1774823520,6383.5,6384.75,6383,6384
1774823580,6383.75,6384,6382.75,6383.75
1774823640,6383.5,6383.75,6381.5,6382.75
1774823700,6382.75,6385.75,6381.25,6382.5
1774823760,6382.5,6384.75,6381,6381
1774823820,6381,6381.5,6379,6380
1774823880,6380.25,6383.5,6380,6382.5
1774823940,6382.5,6382.5,6380.5,6381
1774824000,6381.25,6382,6379.5,6380.5
1774824060,6380.75,6381,6378,6379.25
1774824120,6379.25,6379.5,6374,6374.5
1774824180,6374.75,6377,6374.25,6375
1774824240,6375.25,6375.5,6372,6372
1774824300,6372.5,6373,6368,6369.25
1774824360,6369.75,6372.5,6369.75,6371.5
1774824420,6371.75,6373.75,6370.25,6372.5
1774824480,6372.75,6373.25,6372,6372.5
1774824540,6372.25,6375,6372.25,6374.75
1774824600,6374.5,6378.75,6372,6377
1774824660,6377,6377.25,6375.25,6376
1774824720,6375.5,6377.25,6374.5,6377
1774824780,6377,6377.75,6375.25,6376.5
1774824840,6376.25,6377.25,6375.75,6377
1774824900,6377,6379.5,6377,6379
1774824960,6379,6379.25,6377.75,6378
1774825020,6378.75,6381.75,6378.25,6381.25
1774825080,6381.25,6383.5,6380.75,6382.25
1774825140,6382.25,6383.5,6381.25,6382.25
1774825200,6382.25,6384.25,6381.5,6383.5
1774825260,6383.25,6385.25,6383,6383.5
1774825320,6383.75,6385.5,6383.25,6385
1774825380,6384.5,6387,6384.25,6385.25
1774825440,6385.5,6386.5,6384.5,6385.25
1774825500,6385,6386,6381.25,6381.5
1774825560,6381.25,6383,6378,6378.5
1774825620,6378.5,6378.5,6375.75,6376.25
1774825680,6376.25,6377.5,6375,6376
1774825740,6376.5,6377,6375.75,6376.5
1774825800,6376.5,6376.75,6373.75,6374.5
1774825860,6374.75,6376.25,6374.5,6375.25
1774825920,6375.25,6377.25,6374.5,6377
1774825980,6377,6377.5,6375.5,6375.75
1774826040,6375.75,6376.5,6374.75,6375
1774826100,6375.25,6376.75,6375,6375.75
1774826160,6375.75,6377.25,6375.75,6376
1774826220,6375.75,6376,6374.5,6375.75
1774826280,6375.5,6377.75,6375.5,6377.25
1774826340,6377,6377.25,6376,6376.25
1774826400,6376.25,6379.5,6376.25,6379.25
1774826460,6379.25,6379.25,6377.5,6378.5
1774826520,6378.75,6379.25,6377.5,6377.75
1774826580,6377.5,6378,6376,6376.25
1774826640,6376.25,6376.5,6373.5,6374.25
1774826700,6374.5,6375.5,6374,6374.75
1774826760,6374.75,6376,6374,6374.5
1774826820,6374,6376,6373.25,6373.5
1774826880,6373.5,6375.25,6372.75,6374.75
1774826940,6374.75,6375.75,6374.5,6374.5
1774827000,6374.75,6375,6373,6374.5
1774827060,6374.5,6375,6373.75,6374
1774827120,6374.25,6374.25,6366.75,6370.25
1774827180,6370.25,6373.25,6370.25,6372
1774827240,6372,6373.25,6369.75,6370.25
1774827300,6370.5,6371.25,6369,6369.25
1774827360,6369.5,6374,6369.25,6372.5
1774827420,6372.75,6373.75,6371.5,6371.5
1774827480,6371.75,6373.5,6369.5,6373.25
1774827540,6373.25,6373.25,6370.75,6373.25
1774827600,6373.25,6375.5,6373,6375
1774827660,6374.75,6375.25,6372,6372.5
1774827720,6372.25,6372.25,6370.75,6371.25
1774827780,6371,6371.5,6370,6370.75
1774827840,6370.5,6371.75,6370.25,6371.5
1774827900,6371.5,6373.75,6370.25,6372.75
1774827960,6372.5,6373,6364.5,6367
1774828020,6367,6371.5,6366,6370.5
1774828080,6370.25,6374.5,6369.75,6372.5
1774828140,6372.5,6372.75,6368.25,6369
1774828200,6369.25,6370.5,6365.5,6367
1774828260,6367,6370.75,6366.75,6370.75
1774828320,6370.5,6373.25,6369,6372.25
1774828380,6372,6372,6367.5,6368.5
1774828440,6368.5,6371,6368,6371
1774828500,6371,6372.5,6367.25,6368.75
1774828560,6368.75,6369.75,6362,6365
1774828620,6365,6366.75,6363.75,6366.25
1774828680,6366,6369.25,6365,6368.25
1774828740,6368,6369,6365.75,6367.75
1774828800,6367.75,6371.75,6365.75,6368
1774828860,6368.25,6368.5,6363.25,6364
1774828920,6363.75,6365.75,6360.5,6360.75
1774828980,6361.25,6362.5,6360.25,6361
1774829040,6361,6363,6360.75,6362.75
1774829100,6363,6369.5,6362.75,6368.25
1774829160,6368.25,6370.75,6366.5,6369
1774829220,6369,6373,6367.75,6372.5
1774829280,6372.5,6373,6366.75,6367
1774829340,6367,6369.25,6366.25,6367.25
1774829400,6367.25,6369,6366.5,6368.75
1774829460,6368.5,6370.75,6366.75,6367.5
1774829520,6367.75,6368,6365.25,6366.5
1774829580,6366.25,6368.25,6365.75,6367.75
1774829640,6367.75,6370.25,6367.25,6368
1774829700,6368,6368.75,6366,6367
1774829760,6366.75,6367.75,6363.5,6364.25
1774829820,6364.25,6375.75,6363.75,6374.25
1774829880,6374.25,6379,6370,6378
1774829940,6377.75,6390.25,6374.75,6389.75
1774830000,6389.5,6393,6387.25,6389.25
1774830060,6389,6390,6384.25,6385
1774830120,6385.25,6387.75,6381,6382.5
1774830180,6382.75,6383.75,6379,6381.25
1774830240,6381.25,6384,6380,6382.25
1774830300,6382,6384.5,6381,6383.5
1774830360,6383.5,6393.25,6382.75,6392.25
1774830420,6392.25,6395,6387.75,6393
1774830480,6392.5,6393.25,6389.5,6391.25
1774830540,6391.5,6393.25,6385.25,6385.75
1774830600,6385.5,6387,6382,6382.25
1774830660,6382.25,6386,6381.25,6385.5
1774830720,6385.5,6389.25,6384.5,6386.75
1774830780,6386.5,6386.75,6384,6384
1774830840,6384.5,6386.5,6383,6385.75
1774830900,6385.5,6386.25,6383,6384.75
1774830960,6384.75,6385.75,6382.75,6385.5
1774831020,6385.5,6386.75,6377,6377.25
1774831080,6377.25,6380.5,6374.75,6377.5
1774831140,6377.5,6378.25,6373.75,6374.25
1774831200,6374.25,6375.25,6371.5,6372.5
1774831260,6372.5,6374,6368.5,6370
1774831320,6370,6371.75,6368.25,6370.25
1774831380,6370.25,6372.25,6370,6371.25
1774831440,6371.25,6372.25,6370.25,6371
1774831500,6371,6372,6369.75,6370
1774831560,6370.5,6374,6370.5,6372.5
1774831620,6372.5,6373.25,6371.25,6372.5
1774831680,6372.75,6374.25,6371.25,6373
1774831740,6373,6373.75,6371.25,6373.25
1774831800,6373,6373.75,6367.5,6368.25
1774831860,6368.25,6370.25,6366.25,6367.25
1774831920,6366.75,6368.75,6366.5,6367.75
1774831980,6367.25,6368.5,6365.5,6366.25
1774832040,6366,6367,6364,6366.5
1774832100,6366.5,6367.25,6364.5,6365.25
1774832160,6365.5,6371,6365,6370.25
1774832220,6370.25,6371,6367.75,6369
1774832280,6369.25,6371.25,6368.5,6370.5
1774832340,6370.75,6371.5,6370,6370.75
1774832400,6370.75,6374,6370,6372.25
