time,open,high,low,close
1774821600,23191.5,23222.5,23163.75,23177.25
1774821660,23176,23198.25,23173,23190.75
1774821720,23192.25,23215.75,23190,23197.75
1774821780,23199,23206.75,23175,23179
1774821840,23178.25,23189.5,23159,23173.25
1774821900,23171.5,23182,23160.5,23164.25
1774821960,23162.5,23170,23134,23152.25
1774822020,23152,23175.5,23150.5,23168
1774822080,23168,23169.25,23155,23158.25
1774822140,23159.25,23165,23153.5,23162
1774822200,23162.5,23168,23156,23165.25
1774822260,23165.25,23166.25,23155.25,23157
1774822320,23158.25,23174,23158,23167.5
1774822380,23167.75,23173.75,23160.25,23172.75
1774822440,23174.25,23199.75,23170.25,23196.25
1774822500,23194.75,23202.75,23190,23201.75
1774822560,23201.25,23203.75,23189.5,23191.25
1774822620,23192.25,23198.25,23184.5,23187.25
1774822680,23187.75,23200,23187.75,23197.25
1774822740,23197.5,23200.75,23189.5,23190.25
1774822800,23190.25,23225.5,23188.25,23224.5
1774822860,23224,23229.75,23221,23225.75
1774822920,23225.25,23242,23222,23231.25
1774822980,23230.25,23232.5,23216.5,23220.25
1774823040,23221.25,23230.25,23220,23220.25
1774823100,23221,23223.75,23207.5,23209.25
1774823160,23209,23214.75,23203.75,23205.75
1774823220,23205.75,23210.75,23197.5,23209
1774823280,23209,23229.75,23208,23221
1774823340,23221.75,23227.25,23215.75,23219
1774823400,23219.5,23229.75,23219.5,23229.25
1774823460,23228.25,23228.5,23216,23225.25
1774823520,23225.25,23230,23223,23225.25
1774823580,23225.25,23229.5,23220.25,23226.25
1774823640,23225.75,23228.75,23220.25,23223.25
1774823700,23223.25,23238.5,23212.75,23218.25
1774823760,23218.25,23230.75,23208.5,23213
1774823820,23213,23214.75,23201.25,23206
1774823880,23206,23225.25,23205.75,23220.25
1774823940,23219.25,23219.5,23210.25,23211.75
1774824000,23212.5,23215.25,23203.5,23208
1774824060,23208,23209.25,23197,23200.25
1774824120,23200.25,23201.5,23175,23177
1774824180,23178.5,23190.75,23175.75,23184.75
1774824240,23184.75,23186.5,23172.5,23172.75
1774824300,23173.5,23178.25,23155.5,23161.5
1774824360,23162.5,23177,23162.5,23166.5
1774824420,23167.5,23178,23159.5,23172.25
1774824480,23173.25,23177.75,23168.5,23174
1774824540,23173,23184.75,23172.25,23181.25
1774824600,23181,23200,23171.75,23193.25
1774824660,23193,23193.75,23183,23187
1774824720,23186.75,23192.75,23181.75,23190.5
1774824780,23190.75,23193,23183,23186
1774824840,23186,23190,23183,23185.5
1774824900,23185.25,23198,23185.25,23196
1774824960,23196.25,23197.5,23190.5,23191.5
1774825020,23193,23205.5,23192.25,23202.5
1774825080,23202.5,23213.75,23200,23209.75
1774825140,23209.75,23214.5,23204.75,23208.75
1774825200,23208,23217.5,23202,23211.5
1774825260,23211.5,23217.75,23206.5,23210
1774825320,23210.5,23216,23206.5,23213.25
1774825380,23212.75,23223.75,23211.5,23216.25
1774825440,23216,23220,23211.5,23213.5
1774825500,23212.75,23216.75,23200.25,23202.75
1774825560,23202.75,23209.5,23187.5,23188.5
1774825620,23189.25,23189.5,23177.75,23179.5
1774825680,23179.75,23187.5,23173,23181.25
1774825740,23181.75,23185.5,23177.5,23182.5
